seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
249166,Baseline,4,200,TRUE,4,"1,2,3,4",0.250470311581423,0.25765306122449,0,,6,56,1206,3718,2126.25,1167.77519954256,0.0118611111111111
249167,Baseline,4,200,TRUE,4,"1,2,3,4",0.236975964225824,0.293367346938775,0,,8,62,991,3559,2236.25,1095.99737682168,0.00930973451327434
249168,Baseline,4,147,FALSE,1,4,0.75,1,3,114,8,76,0,581,145.25,290.5,0.0113586497890295
249169,Baseline,4,200,TRUE,4,"1,2,3,4",0.176097763048882,0.267857142857143,0,,10,81,829,2164,1508.75,554.367732947484,0.0103174603174603
249170,Baseline,4,131,FALSE,1,3,0.75,1,3,73,8,64,0,4459,1114.75,2229.5,0.0132121212121212
249171,Baseline,4,200,TRUE,4,"1,2,3,4",0.157256894049347,0.260204081632653,0,,12,89,1274,2696,1722.5,655.484299328875,0.00875757575757576
249172,Baseline,4,163,FALSE,1,2,0.75,1,3,124,21,99,0,2734,683.5,1367,0.0102539682539683
249173,Baseline,4,149,FALSE,1,2,0.75,1,4,63,8,82,0,1830,457.5,915,0.0086078431372549
249174,Baseline,4,200,TRUE,3,"1,3,4",0.280872056015277,0.339285714285714,1,81,8,128,0,1763,1178.25,797.150079972398,0.015479674796748
249175,Baseline,4,177,FALSE,1,4,0.75,1,3,81,10,89,0,1990,497.5,995,0.0103821138211382
249176,Baseline,4,200,TRUE,2,"1,3",0.530211480362538,0.86734693877551,2,63,14,103,0,4081,1820.5,2132.61037229026,0.014258064516129
249177,Baseline,4,197,FALSE,1,4,0.75,1,4,92,18,95,0,4258,1064.5,2129,0.011018315018315
249178,Baseline,4,200,TRUE,4,"1,2,3,4",0.259840810419682,0.318877551020408,0,,12,100,617,2999,1727.5,976.99044689973,0.00925233644859813
249179,Baseline,4,107,FALSE,1,3,0.75,1,3,47,8,47,0,2787,696.75,1393.5,0.00791869918699187
249180,Baseline,4,149,FALSE,1,3,0.75,1,3,72,8,43,0,4165,1041.25,2082.5,0.0126266666666667
249181,Baseline,4,200,TRUE,3,"2,3,4",0.437043997346894,0.467764060356653,1,108,5,109,0,2495,1130.75,1041.8056040676,0.011993769470405
249182,Baseline,4,200,TRUE,2,"2,4",0.613213961922031,0.698216735253772,3,108,12,138,0,3205,1103,1512.44151402074,0.0114117647058824
249183,Baseline,4,200,TRUE,4,"1,2,3,4",0.250786163522013,0.252551020408163,0,,4,105,779,2741,1590,848.987632418753,0.0112142857142857
249184,Baseline,4,200,TRUE,3,"1,2,4",0.354763437399421,0.375739644970414,1,138,10,75,0,2720,1553.5,1164.10924458718,0.0130614886731392
249185,Baseline,4,170,FALSE,1,4,0.75,1,3,66,8,80,0,3322,830.5,1661,0.00951111111111111
249186,Baseline,4,200,TRUE,3,"1,2,4",0.331822606156467,0.594387755102041,1,110,14,65,0,3467,2054.75,1477.82303293279,0.0132857142857143
249187,Baseline,4,187,FALSE,1,3,0.722625698324022,1,3,95,7,108,0,3384,895,1661.90372765693,0.00988652482269504
249188,Baseline,4,149,FALSE,1,2,0.686050156739812,0.82,4,59,14,86,0,1391,398.75,668.453625915815,0.0128262910798122
249189,Baseline,4,152,FALSE,1,4,0.75,1,3,121,10,57,0,3373,843.25,1686.5,0.0117435897435897
249190,Baseline,4,200,TRUE,4,"1,2,3,4",0.245640756302521,0.262755102040816,0,,4,51,1117,3679,2380,1248.24276484985,0.00875389408099689
249191,Baseline,4,200,TRUE,2,"2,3",0.55040260142459,0.512465373961219,2,116,16,116,0,1940,807.25,969.279930326288,0.0107079037800687
249192,Baseline,4,200,TRUE,3,"1,2,3",0.337788518445453,0.377551020408163,1,67,12,91,0,2128,1267.25,919.700449421803,0.00828368794326241
249193,Baseline,4,154,FALSE,1,1,0.75,1,3,129,12,71,0,998,249.5,499,0.0119722222222222
249194,Baseline,4,155,FALSE,1,4,0.730252764612954,1,3,82,6,91,0,4256,1107.75,2100.45397870714,0.00947474747474747
249195,Baseline,4,197,FALSE,1,3,0.688461538461539,0.834710743801653,3,131,11,87,0,1425,406.25,685.679407595124,0.0090077519379845
249196,Baseline,4,115,FALSE,1,4,0.75,1,4,100,10,50,0,3421,855.25,1710.5,0.0128933333333333
249197,Baseline,4,200,TRUE,3,"1,3,4",0.360142462258133,0.395408163265306,1,165,15,116,0,2218,1175.75,910.110753333534,0.0140384615384615
249198,Baseline,4,159,FALSE,1,4,0.75,1,3,57,12,71,0,1368,342,684,0.010225988700565
249199,Baseline,4,113,FALSE,1,3,0.75,1,5,101,12,54,0,1485,371.25,742.5,0.00891304347826087
249200,Baseline,4,118,FALSE,1,2,0.75,1,3,83,18,47,0,2926,731.5,1463,0.0121904761904762
